cluster_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,love,know,people,good,song,time,think,press,god,bro,like,year,friend,thing,jesus,world,day,button,come,way
1,ahahahahaha,ewwwwwwwwwww,nooooooooooooooooo,mia,yah,fany,frrrrr,syfm,ahahahahah,washmycar,shay,noooooooooooo,nooooooooooo,ewe,nooooooooo,aaaaaaaaaaaaaa,maui,llj,lmaoooo,mango
2,bro,get,nah,eye,turn,laugh,uno,reverse,cry,white,middle,go,hell,end,hair,hard,black,finger,roll,womp
3,like,bro,look,rock,man,lol,funny,guy,see,sound,kid,demon,get,old,bruh,wtf,face,girl,go,think
4,rock,dwayne,arnold,dora,tyson,johnson,neil,jackie,bro,emo,chan,look,hair,degrasse,gordon,schwarzenegger,baby,like,xxx,ramsey
5,video,funny,comment,stop,watch,like,content,short,hate,cringe,bro,youtube,brain,slop,people,sound,brainrot,rot,steal,make
6,dad,die,bro,mom,wait,gay,say,kid,mean,go,boy,couch,get,twist,plot,girlfriend,talk,girl,son,think
7,school,want,wanna,mama,go,say,yes,bro,dummy,book,hey,parent,know,break,parenting,mcdonald,money,bear,yeah,kid
8,bro,que,fall,grass,boi,suck,get,hell,mis,dirty,rage,dancing,rainbows,unicorns,minded,himim,text,fluffy,think,fork
9,eat,poop,banana,number,bro,pillow,shit,end,poo,big,pee,pietro,chicken,marshmallow,dream,tooth,dog,fry,like,bell
